csd,n_atoms,n_basis,scf_converged,scf_energy_Ha,homo_lumo_gap_eV,cis_s1_eV,cis_s1_osc_strength,dipole_debye,wall_time_s
ABECAL,46,158,True,-1057.7658713328265,8.258212700040177,3.8606580909525565,0.07044651998456944,1.856337615412796,23.29
ANTCEN,24,80,True,-529.4658326775894,9.628759415365982,5.476256709450815,0.27878693410426536,1.841770190606804e-12,3.06
BEANTR,26,98,True,-677.3217427333107,8.383629748679601,1.1754497364740526,0.0003900951291726191,1.771025572946907,11.48
BENZEN,12,36,True,-227.8907601748182,14.941253797103078,7.744100083232087,5.489856047878127e-05,6.793101060768017e-14,1.14
BIFUOR,44,148,True,-983.0292861065304,12.058066253441892,6.831271677884054,0.20891490013747416,0.4057920633112259,24.66
BIPHEN,22,70,True,-454.63488347532586,12.995540933992364,7.469161657932746,0.27259688130980037,1.8274055865066834e-12,3.24
BNPERY,17,61,True,-414.41667275300006,6.341163659122816,0.7905505491348319,4.439473521195048e-05,4.462185695491472,2.54
BNPYRE10,19,71,True,-488.97472616756204,3.3157174240898257,0.9393614108193551,0.0005174570680125478,9.150447849535515,9.31
BZPHAN,30,102,True,-680.2617318551922,10.582600671643128,5.869706884828583,0.00265127148730603,0.051566982679338805,11.14
CEQGEL,32,112,True,-755.1217949034167,10.058917553146852,5.826803058914281,0.36619829981487656,0.03536993806950944,10.82
CORANN12,21,81,False,-563.8868474015875,8.456329245598706,,,3.798793406653926,7.88
CORONE01,36,132,True,-904.8069589068177,9.424663615941814,4.833462775584299,9.391467487889473e-06,2.9213831432133556e-09,15.92
CORXAI10,52,188,True,-1282.3032259482306,7.714218264832305,4.320457285611987,1.4563584574767428,0.045623031748578985,35.23
CRYSEN01,30,102,True,-680.2793934126773,10.829205573356777,6.10652939122902,0.17379970502067016,4.605665207779716e-13,10.27
DBNTHR02,36,124,True,-831.0756107053901,10.205612503958,5.704899679527802,0.032417522466150414,6.432812911722946e-12,14.89
DBPERY,44,156,True,-1056.6737171280756,8.485246769877675,4.760353417058029,1.761693145228636,3.845527881587441e-06,18.19
DBPHEN02,36,124,True,-831.0481359820217,10.575484984024122,5.7096351860121155,0.0002368399203436152,0.12167990763275115,16.72
DBZCOR,48,176,True,-1206.3537686207173,8.836514420959896,4.784409207980102,9.523430313910154e-05,4.364144837494964e-06,38.6
DNAPAN,29,105,True,-715.4916496979386,7.622036523212331,0.06925654357383824,0.0004113675797194498,4.512799588303306,17.82
DPANTR01,44,148,True,-982.9614916290534,9.150205223638743,5.064699445083816,0.6756481160561929,3.190662877813214e-12,14.61
DUPHAX,34,138,False,-975.6075845383239,4.505144030120498,,,2.387183077130778,29.61
FLUANT02,24,88,False,-602.7570545690185,4.705606903247764,,,1.7795129292330916,8.24
FOVVOB,52,172,True,-1134.8959232640063,12.114309774551081,6.9684707293129,0.6235820387365429,0.08964268508089088,32.09
IZUCIP,52,180,True,-1208.6223067483188,10.024951784004596,5.767168008766577,0.3502837935423049,0.1611497131781871,41.2
KAFVUI,26,98,True,-676.9571364531603,3.396007404848262,1.0462559017090405,0.0006189152242537396,11.382453413005596,13.08
KAGGAC,30,102,True,-679.3935913642867,6.831850336455457,0.6235058453401761,0.001404112011246756,4.075547014717641,18.01
KAGGEG,38,134,True,-905.8758094354123,7.275591135932285,3.9184957310247204,1.7586213266996937,5.063081624900163e-12,13.74
KAQLEV,23,91,True,-638.404201615898,4.3841570674839385,0.34397544149592674,0.0009230850613474242,6.639866682778294,10.97
KEGHEJ01,22,78,True,-528.2501069249593,9.429901163568243,4.069276691636241,2.9682717271417285e-20,4.0615796226552216e-09,2.6
KIDJUD03,52,172,True,-1134.9040343768047,11.896188329528819,6.902443751787885,0.6468982880169711,4.7355210233440294e-12,29.24
KUBWAF01,46,158,True,-1057.7914212746005,9.41618957623422,5.189459649030123,0.7567831161630283,0.023554091119523245,23.26
KUZXUA,48,176,True,-1206.3895516703792,8.925152419490942,4.95474561693667,0.17490307933112276,0.01879437832811298,31.74
NAPANT01,27,103,True,-714.6643180372596,5.733776277876041,0.6528982387693849,0.0007006026862600211,8.859473729319031,20.69
OVALEN01,46,174,True,-1205.2737192929726,7.625790168036908,4.361299004685591,0.5070760264317962,1.9040635121585762e-12,25.44
PENCEN,36,124,True,-830.9653536373257,7.272843995118904,3.916576075692766,0.5886597426073602,2.0529257588909304e-12,10.85
PERLEN05,32,112,True,-755.1075166769538,8.857644669959413,5.014471808793562,1.0553080123693594,0.02226031478074319,9.92
PERLEN07,32,112,True,-755.1068418871034,8.717473162946424,4.91184150179142,1.0556809118470236,1.0996949840412036e-12,7.97
PEZPIU,52,180,True,-1208.5393161320658,9.852502458081087,4.865823617213883,0.13703876089829517,0.42105140087376236,36.19
PEZPUG,52,180,True,-1208.5749472614061,9.743016645635988,4.947117254197261,0.19015840511378024,0.3121815810291017,35.04
PHNAPH,46,166,True,-1131.2464654315677,6.41251632264604,3.1275444276748656,0.851401432339072,3.807170019635173e-12,21.08
POBPIG06,48,176,True,-1206.3415442289702,7.74600590226751,4.247476182152023,2.1343904244980285,1.709073007052212e-05,20.81
POBPIG,33,125,True,-865.7917772732144,8.481516108320605,0.9694127874292713,0.0028241815683188337,3.378785945530651,16.67
PUJQIV,30,110,True,-753.2784447697609,6.588034279796455,1.084190394868836,0.0001874799833974108,2.76607939963047,15.19
PUNVIE,26,98,True,-676.7514308490802,5.971957573171547,0.44876228699580767,0.0229310885120646,2.057732012556699,16.32
PYRCEN,26,82,True,-530.6962252413474,11.755681389592617,6.8026405839907085,0.28018575742748464,1.4636603880138614e-12,4.5
PYRPYR10,46,166,True,-1131.52036052215,8.922821082104226,5.218273552066331,0.5775037333558977,0.05512101541392846,25.42
QUATER10,30,110,True,-753.5975071135304,5.876760973267651,0.27058277158391064,0.0002256877194396971,1.318687684567442,15.6
QUPHEN01,42,138,True,-908.1485273207775,10.860153011994674,6.168502626922931,1.9962691620706279,0.0009376527681398614,12.7
QUPHEN,42,138,True,-908.1416084083935,10.523409627779621,5.937249024885196,2.1201114097924183,5.9441283765991505e-12,12.74
RAKGOA,42,154,True,-1055.5106378528353,10.092432793406191,5.684983736149919,0.002101377412425267,0.856191119008864,30.0
REBWIE,48,168,True,-1132.6179027065295,9.175793715706693,4.661209881372356,0.2010729950950645,0.2925036432304425,24.43
SANQII,36,124,True,-831.0356562798911,9.551888776120682,5.34651406404874,0.11140313098889196,0.015632673272689326,12.26
SURTAA,25,101,True,-713.4131348486576,5.708543389420764,0.5593782420628155,2.7830039696268326e-05,4.163745562733248,20.33
TBZPER,52,188,True,-1282.3077458774856,8.143899006640282,4.5673736600559955,1.331180612152997,0.0781768500102263,35.33
TBZPYR,44,156,True,-1056.6662012586248,8.952582614358272,5.048213953385283,0.7427124239989046,0.17403216710887712,19.57
TEBNAP,42,146,True,-981.8452596676907,9.86650001134554,5.462667736273411,0.3517810520819236,0.010651512056212956,18.14
TERPHE02,32,104,True,-681.3910073720533,11.619082920317892,6.706950571536376,1.3169715449109018,2.6145440667999387e-12,7.69
TERPHO02,32,104,True,-681.3883557033073,12.383142925769887,7.129366865487802,0.40905018452597874,0.03509228705284026,10.28
TETCEN01,30,102,True,-680.24453905169,8.241564837225072,4.548944997796086,0.3131304451857312,1.5685084353371542e-12,7.83
TPHBEN01,42,138,True,-908.1584600156932,12.344774832548543,6.997097152770788,0.0009418249968046926,0.003194823728815695,18.79
TRIPHE12,30,102,True,-680.2831165201833,11.62540358127377,6.247558270573718,3.7837168230646296e-05,0.025925616829006088,9.28
VEBKAP,46,158,True,-1057.7721323855103,7.259685125951342,3.8819428352128846,0.4296431058422497,0.18781277267322374,17.05
XECJIZ,15,51,True,-339.6932992724171,8.622449098450772,0.9166591728459165,0.003422066201930996,0.9098394399818075,2.44
YITJAN,40,136,True,-907.0228664657841,9.976775285049026,5.6447792829205214,0.20470735583102384,0.10198050480736408,15.93
YUNYAJ,50,186,True,-1281.2360867509624,7.899703262338816,4.472858460780052,1.0848047044816465,1.5971349205127942e-05,29.68
ZZZDKE01,42,146,True,-981.7951581992222,6.445031150315882,3.3630912541123266,0.34912663982217396,3.459436959740758e-05,12.55
ZZZNKU01,52,172,True,-1134.8913475678405,10.603856199614288,6.072854315798407,2.9006743824306818,4.617590851383936e-12,21.0
ZZZOYC01,28,116,False,-825.3315588498097,5.401988491013157,,,5.467827054449038,25.01
